CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
67	238	4	0.9638	-16.031
825	828	5	0.7809	-695.447
802	839	5	0.9685	-28.032
829	839	5	0.9644	-14.015
839	840	5	0.8784	-11.999
839	847	5	0.8503	-14.016
833	848	5	0.9343	-28.031
840	848	5	0.8624	146.057
842	848	5	0.9139	-26.016
792	798	5	0.9656	-17.027
794	798	5	0.7626	275.090
798	801	5	0.9146	35.037
798	807	5	0.9192	35.038
798	808	5	0.7957	-650.385
798	810	5	0.9654	-129.030
798	811	5	0.9618	17.028
798	812	5	0.8475	-146.057
798	814	5	0.9811	0.001
798	844	5	0.8049	-11.004
769	793	5	0.9147	-28.031
785	793	5	0.9037	-14.015
793	794	5	0.9502	17.026
793	795	5	0.8049	-650.389
793	802	5	0.908	-14.014
793	808	5	0.8361	-358.269
793	812	5	0.8757	146.059
793	819	5	0.9022	-26.014
793	829	5	0.9207	-28.031
793	837	5	0.8228	-54.047
784	799	5	0.9619	-14.015
785	799	5	0.8913	146.058
799	805	5	0.9371	-15.017
799	831	5	0.9347	-28.031
799	833	5	0.8793	-40.031
799	842	5	0.9334	-42.046
799	849	5	0.7416	-70.078
794	825	5	0.8908	-28.031
825	829	5	0.9193	-17.026
825	842	5	0.8734	129.032
825	847	5	0.8047	-45.057
825	849	5	0.738	101.000
769	837	5	0.8615	-82.078
785	837	5	0.8748	-68.062
802	837	5	0.8581	-40.033
819	837	5	0.8747	-28.033
829	837	5	0.8825	-26.016
837	847	5	0.7179	-2.015
784	833	5	0.8304	-54.047
805	833	5	0.874	-25.014
819	833	5	0.8347	146.056
831	833	5	0.8592	-12.000
833	835	5	0.8027	-28.031
833	836	5	0.8158	163.085
833	842	5	0.8744	-2.015
784	849	5	0.7229	-84.094
830	849	5	0.7131	-191.117
842	849	5	0.9004	-28.032
847	849	5	0.8395	146.057
784	842	5	0.9239	-56.061
805	842	5	0.9338	-27.029
812	842	5	0.8118	-28.032
