formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C11H20N4O3	[M + H3N + H]+	C11H24N5O3+	0.800	0.333	111.851	109.051	2.801	34	0.841	0.313	1.635	-1.444		274.187	19	0.312	713686925025700355	713686809405512292	23	
1	C12H21N5O5	[M + Na]+	C12H21N5NaO5+	1.000	1.000	60.047	56.623	3.424	28	0.826	-0.114	0.662	-0.886		338.143	19	0.312	713686938770436428	713686809451649640	34	
1	C14H21NO8	[M + Na]+	C14H21NNaO8+	0.179	0.368	6.692	3.576	3.116	1	0.018	1.017	3.376	3.142		354.117	19	0.313	713686949562382189	713686809493592684	35	
1	C12H18N4O5	[M + H3N + H]+	C12H22N5O5+	0.798	0.333	66.238	63.203	3.034	17	0.979	2.488	2.488	-0.649		316.161	19	0.313	713686923226343673	713686809527147120	36	
1	C9H16N2O2	[M + H3N + H]+	C9H20N3O2+	0.997	0.333	30.198	30.198	0.000	10	0.260	1.783	1.783	-0.140		202.155	19	0.314	713686938250342682	713686809560701556	37	
1	C14H25N5O5	[M + H3N + H]+	C14H29N6O5+	0.957	0.333	58.039	58.039	0.000	11	0.418	0.627	0.627	0.389		361.220	19	0.317	713686925147335187	713686809598450296	33	
1	C11H16N4O4	[M + H3N + H]+	C11H20N5O4+	0.801	0.333	147.672	144.873	2.799	46	0.839	0.335	1.062	-0.806		286.151	19	0.319	713686942717277141	713686809669753472	38	
1	C10H17NO4S	[M + H3N + H]+	C10H21N2O4S+	1.000	0.333	86.212	83.746	2.466	14	0.620	3.872	3.872	0.473		265.122	19	0.319	713686942088131424	713686809703307908	39	
1	C16H32N6O5	[M - H2O + H]+	C16H31N6O4+	0.793	0.333	24.223	24.223	0.000	18	0.708	0.732	0.732	-48514.708		371.240	20	0.325	713686941589009172	713686809745250952	42	
1	C8H17N3O3	[M - H2O + H]+	C8H16N3O2+	0.906	0.333	57.246	57.246	0.000	11	0.216	2.181	2.181	-96766.625		186.124	20	0.326	713686927806524312	713686809787193996	41	
