row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,171103_PMA_TK_M1_01.mzML Peak area,171103_PMA_TK_M1_02.mzML Peak area,171103_PMA_TK_M1_03.mzML Peak area,171103_PMA_TK_M1_04.mzML Peak area,171103_PMA_TK_M1_05.mzML Peak area,171103_PMA_TK_M1_06.mzML Peak area,171103_PMA_TK_PA14_01.mzML Peak area,171103_PMA_TK_PA14_02.mzML Peak area,171103_PMA_TK_PA14_03.mzML Peak area,171103_PMA_TK_PA14_04.mzML Peak area,171103_PMA_TK_PA14_05.mzML Peak area,171103_PMA_TK_PA14_06.mzML Peak area,171103_PMA_TK_QC_03.mzML Peak area,171103_PMA_TK_QC_04.mzML Peak area,171103_PMA_TK_QC_05.mzML Peak area,171103_PMA_TK_QC_06.mzML Peak area,171103_PMA_TK_QC_07.mzML Peak area,171103_PMA_TK_QC_08.mzML Peak area,171103_PMA_TK_media_02.mzML Peak area,171103_PMA_TK_media_03.mzML Peak area,171103_PMA_TK_media_04.mzML Peak area,171103_PMA_TK_media_05.mzML Peak area,171103_PMA_TK_media_06.mzML Peak area,Unnamed: 36
30,130.08629480157546,0.26791078,height,,,,,,,,,,,11653910.0,11276658.0,11416763.0,10351277.0,10869813.0,12884150.0,24139336.0,8275633.5,15427734.0,21969850.0,30892282.0,14890111.0,7982745.0,8641339.0,9016692.0,9284977.0,9319050.0,8446387.0,0.0,34096732.0,37634136.0,34011040.0,33910390.0,
24,148.0603044712165,0.26857176,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,35425236.0,31499550.0,22011912.0,17309914.0,19862964.0,25526258.0,14707922.0,12860581.0,11575565.0,12336640.0,10831638.0,10746939.0,15872770.0,14552207.0,14626228.0,17938122.0,14673096.0,
18,245.1130282624894,0.26890236,height,,,,,,,,,,,14716601.0,13402515.0,0.0,12405820.0,15142145.0,16364050.0,188147700.0,180682030.0,163917090.0,138146850.0,178549310.0,213116350.0,70390980.0,79179210.0,58262710.0,50788444.0,55992116.0,50117224.0,136308140.0,136877340.0,140987220.0,157039420.0,144993230.0,
19,139.05018291462926,0.27241978,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,14132936.0,20073986.0,13688252.0,13986163.0,17036968.0,16902922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21,219.13366343450664,0.27509347,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23699206.0,24939404.0,25629624.0,21273772.0,21483220.0,20034386.0,143532620.0,140007400.0,172234200.0,129460640.0,130119290.0,
26,158.02463470246678,0.28872523,height,,,,,,,,,,,22672756.0,23573664.0,25034976.0,22712164.0,23045610.0,23687278.0,0.0,0.0,0.0,0.0,0.0,0.0,10327456.0,10429089.0,8849294.0,8380599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
27,348.07019691072,0.2890755,height,,,,,,,,,,,0.0,0.0,0.0,11500676.0,9293357.0,12352940.0,49268068.0,52345290.0,34188936.0,30673522.0,35998076.0,36121230.0,10663424.0,10418266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25,291.14234846299803,0.2895481,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,10117603.0,0.0,6896326.0,0.0,0.0,8180109.5,11825532.0,10086377.0,0.0,0.0,0.0,0.0,28205574.0,32410972.0,25542102.0,21875980.0,19302098.0,
22,269.160539897371,0.29009056,height,,,,,,,,,,,23310222.0,18146382.0,17861356.0,12967858.0,22010656.0,27598078.0,210009550.0,212044690.0,150757520.0,154356720.0,189790700.0,181347860.0,135307600.0,116262840.0,92452760.0,73838530.0,76275330.0,85152640.0,601923840.0,620210200.0,623381950.0,550571500.0,543215940.0,
20,260.19673799870486,0.29149798,height,,,,,,,,,,,0.0,14785265.0,0.0,12339585.0,15791536.0,19746892.0,49516580.0,54988810.0,38029932.0,35391664.0,46859244.0,44267124.0,41647996.0,37085884.0,31805994.0,24325224.0,26214708.0,27410688.0,190647070.0,183372030.0,210187040.0,174135000.0,173401700.0,
