feature_id	IK2D	Sources	SMILES	gnps_SpectrumID	gnps_SpectrumFile	gnps_LibraryName	gnps_MQScore	gnps_TIC_Query	gnps_RT_Query	gnps_MZErrorPPM	gnps_SharedPeaks	gnps_MassDiff	gnps_SpecMZ	gnps_SpecCharge	gnps_FileScanUniqueID	gnps_NumberHits	gnps_Compound_Name	gnps_Ion_Source	gnps_Instrument	gnps_Compound_Source	gnps_PI	gnps_Data_Collector	gnps_Adduct	gnps_Precursor_MZ	gnps_ExactMass	gnps_Charge	gnps_CAS_Number	gnps_Pubmed_ID	gnps_SMILES	gnps_INCHI	gnps_INCHI_AUX	gnps_Library_Class	gnps_IonMode	gnps_Organism	gnps_LibMZ	gnps_UpdateWorkflowName	gnps_LibraryQualityString	gnps_tags	gnps_molecular_formula	gnps_InChIKey	gnps_superclass	gnps_class	gnps_subclass	gnps_npclassifier_superclass	gnps_npclassifier_class	gnps_npclassifier_pathway	gnps_library_usi	isdb_component_id	isdb_structure_taxonomy_npclassifier_01pathway_consensus	isdb_freq_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass_consensus	isdb_freq_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class_consensus	isdb_freq_structure_taxonomy_npclassifier_03class	isdb_rank_spec	isdb_msms_score	isdb_libname	isdb_structure_wikidata	isdb_structure_inchikey	isdb_structure_inchi	isdb_SMILES	isdb_structure_molecular_formula	isdb_adduct	isdb_structure_exact_mass	isdb_structure_nameTraditional	isdb_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class	isdb_organism_wikidata	isdb_organism_name	isdb_organism_taxonomy_ottid	isdb_organism_taxonomy_01domain	isdb_organism_taxonomy_02kingdom	isdb_organism_taxonomy_03phylum	isdb_organism_taxonomy_04class	isdb_organism_taxonomy_05order	isdb_organism_taxonomy_06family	isdb_organism_taxonomy_07tribe	isdb_organism_taxonomy_08genus	isdb_organism_taxonomy_09species	isdb_organism_taxonomy_10varietas	isdb_matched_domain	isdb_matched_kingdom	isdb_matched_phylum	isdb_matched_class	isdb_matched_order	isdb_matched_family	isdb_matched_tribe	isdb_matched_genus	isdb_matched_species	isdb_score_taxo	isdb_score_max_consistency	isdb_final_score	isdb_rank_final	sirius_structurePerIdRank	sirius_formulaRank	sirius_ConfidenceScoreExact	sirius_ConfidenceScoreApproximate	sirius_CSI:FingerIDScore	sirius_ZodiacScore	sirius_SiriusScoreNormalized	sirius_SiriusScore	sirius_molecularFormula	sirius_adduct	sirius_precursorFormula	sirius_InChI	sirius_name	sirius_SMILES	sirius_xlogp	sirius_pubchemids	sirius_links	sirius_dbflags	sirius_ionMass	sirius_retentionTimeInSeconds	sirius_retentionTimeInMinutes	sirius_formulaId	sirius_alignedFeatureId	sirius_overallFeatureQuality
486	HGCNKOLVKRAVHD	gnps|isdb	CSCC[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O)N	CCMSLIB00003139887	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.923052	25214900.0	0.0	1.54064	9.0	0.000457764	297.126	1.0	temp/spectra_filtered.mgf486	1.0	Spectral Match to Met-Phe from NIST14	ESI	qTof	Isolated	Data from Chris Turck	Data deposited by fevargas	M+H	297.126	296.12	1.0	14492149		CSCC[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O)N	InChI=1S/C14H20N2O3S/c1-20-8-7-11(15)13(17)16-12(14(18)19)9-10-5-3-2-4-6-10/h2-6,11-12H,7-9,15H2,1H3,(H,16,17)(H,18,19)/t11-,12-/m0/s1		3.0	Positive	GNPS-NIST14-MATCHES	297.126	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C14H20N2O3S	HGCNKOLVKRAVHD-RYUDHWBXSA-N	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Dipeptides	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003139887	43.0	Amino acids and Peptides	0.4	Small peptides	0.4	Dipeptides	0.3	1.0	0.43217337	ISDB															['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0.0	0.0	1.7286934852600098	1.0																								
486	PGHHBYWJELGPJX	sirius	C1CC1NC(=O)CSC(CC2=CC=CC=C2)C(=O)O																																																																																												1.0	1.0	0.073	0.073	-209.009	0.798	0.333	46.056	C14H17NO3S	[M + H3N + H]+	C14H21N2O3S+	InChI=1S/C14H17NO3S/c16-13(15-11-6-7-11)9-19-12(14(17)18)8-10-4-2-1-3-5-10/h1-5,11-12H,6-9H2,(H,15,16)(H,17,18)	2-[2-(Cyclopropylamino)-2-oxoethyl]sulfanyl-3-phenylpropanoic acid	C1CC1NC(=O)CSC(CC2=CC=CC=C2)C(=O)O	2.4	60793193	PUBCHEM:(60793193)	2.0	297.126	83.0	1.376	7.136869625856979e+17	7.13686821451555e+17	
487	AUEJLPRZGVVDNU	gnps	CC(C)C[C@@H](C(=O)O)NC(=O)[C@H](CC1=CC=C(C=C1)O)N	CCMSLIB00003138902	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.944478	67205600.0	0.0	3.72211	8.0	0.00109863	295.165	1.0	temp/spectra_filtered.mgf487	1.0	Spectral Match to Tyr-Leu from NIST14	ESI	qTof	Isolated	Data from Chris Turck	Data deposited by fevargas	M+H	295.164	294.158	1.0			CC(C)C[C@@H](C(=O)O)NC(=O)[C@H](CC1=CC=C(C=C1)O)N	InChI=1S/C15H22N2O4/c1-9(2)7-13(15(20)21)17-14(19)12(16)8-10-3-5-11(18)6-4-10/h3-6,9,12-13,18H,7-8,16H2,1-2H3,(H,17,19)(H,20,21)/t12-,13-/m0/s1		3.0	Positive	GNPS-NIST14-MATCHES	295.164	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C15H22N2O4	AUEJLPRZGVVDNU-STQMWFEESA-N	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Dipeptides	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003138902																																																																							
487	QJKMCQRFHJRIPU	isdb	CC[C@H](C)[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)O																																													7.0	Amino acids and Peptides	0.4761904761904761	Small peptides	0.4642857142857143	Dipeptides	0.4285714285714285	2.0	0.6307314	ISDB	http://www.wikidata.org/entity/Q27145058	QJKMCQRFHJRIPU-XDTLVQLUSA-N	InChI=1S/C15H22N2O4/c1-3-9(2)13(15(20)21)17-14(19)12(16)8-10-4-6-11(18)7-5-10/h4-7,9,12-13,18H,3,8,16H2,1-2H3,(H,17,19)(H,20,21)/t9-,12-,13-/m0/s1	CC[C@H](C)[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)O	C15H22N2O4		294.157957184	Tyr-Ile	Amino acids and Peptides	Small peptides	Dipeptides	http://www.wikidata.org/entity/Q158695	Arabidopsis thaliana	309263.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Camelineae']	['Arabidopsis']	['Arabidopsis thaliana']											0.0	3.0	4.022925615310669	1.0																								
487	QNVDTXQSBZEJNN	sirius	CCC(C)C(C(=O)O)NC(=O)C=CC1=CC=C(C=C1)O																																																																																												1.0	1.0	0.251	0.251	-199.543	0.799	0.333	45.643	C15H19NO4	[M + H3N + H]+	C15H23N2O4+	InChI=1S/C15H19NO4/c1-3-10(2)14(15(19)20)16-13(18)9-6-11-4-7-12(17)8-5-11/h4-10,14,17H,3H2,1-2H3,(H,16,18)(H,19,20)	(2S)-2-[3-(4-hydroxyphenyl)prop-2-enoylamino]-3-methylpentanoic acid	CCC(C)C(C(=O)O)NC(=O)C=CC1=CC=C(C=C1)O	2.6	112496431;112497321;43356414;61172408	PUBCHEM:(112496431 112497321 43356414 61172408)	2.0	295.165	83.0	1.379	7.136869698586221e+17	7.136868214767208e+17	
488	MAXMRHKNUKPNDN	sirius	C#CCN(CC1CC1)C(=O)CC2=CC=CC=C2C(=O)O																																																																																												1.0	2.0	0.039	0.039	-182.442	0.276	0.333	42.497	C16H17NO3	[M + H3N + H]+	C16H21N2O3+	InChI=1S/C16H17NO3/c1-2-9-17(11-12-7-8-12)15(18)10-13-5-3-4-6-14(13)16(19)20/h1,3-6,12H,7-11H2,(H,19,20)	2-[2-[Cyclopropylmethyl(prop-2-ynyl)amino]-2-oxoethyl]benzoic acid	C#CCN(CC1CC1)C(=O)CC2=CC=CC=C2C(=O)O	1.7	104601723	PUBCHEM:(104601723)	2.0	289.154	83.0	1.38	7.136869793209729e+17	7.136868214976924e+17	
489	UTGIMLSHGSMIJU	sirius	C1CCC(CC1)C(=O)NC(C2=CC=CC=C2)C(=O)O																																																																																												1.0	1.0	0.146	0.146	-387.83	0.8	0.333	31.763	C15H19NO3	[M + H3N + H]+	C15H23N2O3+	InChI=1S/C15H19NO3/c17-14(12-9-5-2-6-10-12)16-13(15(18)19)11-7-3-1-4-8-11/h1,3-4,7-8,12-13H,2,5-6,9-10H2,(H,16,17)(H,18,19)	N-Cyclohexanoyl-2-phenylglycine	C1CCC(CC1)C(=O)NC(C2=CC=CC=C2)C(=O)O	2.9	41097770;10377966;152957	MESH:(152957);PUBCHEM:(41097770 10377966 152957);DSSTox:(DTXSID10950921);PUBMED:(null)	137438953542.0	279.17	85.0	1.415	7.13686958815018e+17	7.13686821699019e+17	
490	BRPMXFSTKXXNHF	sirius	C1CC(NC1)C(=O)NCC(=O)N2CCCC2C(=O)O																																																																																												1.0	1.0	0.076	0.076	-273.246	0.801	0.333	129.769	C12H19N3O4	[M + H3N + H]+	C12H23N4O4+	InChI=1S/C12H19N3O4/c16-10(15-6-2-4-9(15)12(18)19)7-14-11(17)8-3-1-5-13-8/h8-9,13H,1-7H2,(H,14,17)(H,18,19)	(2S)-1-[2-[[(2S)-pyrrolidine-2-carbonyl]amino]acetyl]pyrrolidine-2-carboxylic Acid	C1CC(NC1)C(=O)NCC(=O)N2CCCC2C(=O)O	-3.0	9903507;145457474;20455010	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0260136);BloodExposome:(9903507);CHEBI:(162325);MESH:(9903507 145457474);PUBCHEM:(9903507 145457474 20455010);DSSTox:(DTXSID80432628);PUBMED	137459925102.0	287.171	83.0	1.383	7.136869599852289e+17	7.13686821518664e+17	
490	WICOLBXWGGDYCT	isdb																																														-1.0							1.0	0.59769094	ISDB															['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0.0	0.0	2.390763759613037	1.0																								
490	YPCASTMKDJIXPW	gnps	CCCCCCC(NC(C(O)=O)CCCNC(N)=N)=O	CCMSLIB00011434881	spectra_filtered.mgf	ECG-ACYL-AMIDES-C4-C24-LIBRARY.mgf	0.87859	10718700.0	0.0	128.038	11.0	0.0367737	287.171	1.0	temp/spectra_filtered.mgf490	1.0	Arg-C7:0	ESI	Orbitrap	Commercial	Dorrestein	Ipsita	M+H	287.208	286.2	1.0			CCCCCCC(NC(C(O)=O)CCCNC(N)=N)=O	InChI=1S/C13H26N4O3/c1-2-3-4-5-8-11(18)17-10(12(19)20)7-6-9-16-13(14)15/h10H,2-9H2,1H3,(H,17,18)(H,19,20)(H4,14,15,16)		1.0	Positive	ECG-ACYL-AMIDES-C4-C24-LIBRARY	287.208	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C13H26N4O3	YPCASTMKDJIXPW-UHFFFAOYSA-N	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Dipeptides	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00011434881																																																																							
