feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final
835	5	Fatty acids	0.38461538461538464	Fatty acyl glycosides	0.2564102564102564	Rhamnolipids	0.2564102564102564	2.0	0.0	MS1_match	http://www.wikidata.org/entity/Q104975400	DCIJAGJQBHKBNH-IWRMTKMNSA-N	InChI=1S/C28H50O9/c1-4-6-8-10-11-13-15-17-22(37-28-27(34)26(33)25(32)20(3)35-28)19-24(31)36-21(18-23(29)30)16-14-12-9-7-5-2/h13,15,20-22,25-28,32-34H,4-12,14,16-19H2,1-3H3,(H,29,30)/b15-13+/t20-,21?,22?,25-,26+,27+,28-/m0/s1	CCCCCC/C=C/CC(CC(=O)OC(CCCCCCC)CC(=O)O)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O	C28H50O9	pos_1_1proton1ethylamine	530.34548318	3-[(E)-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxydodec-5-enoyl]oxydecanoic acid	DCIJAGJQBHKBNH	Fatty acids	Fatty acyl glycosides	Rhamnolipids	http://www.wikidata.org/entity/Q131143	Pseudomonas	281374.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	['Unknown']	['Pseudomonas']	['Unknown']		['Bacteria']		['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']		['Pseudomonas']		6	3	7.5	1
835	5	Fatty acids	0.38461538461538464	Fatty acyl glycosides	0.2564102564102564	Rhamnolipids	0.2564102564102564	2.0	0.0	MS1_match	http://www.wikidata.org/entity/Q105022873	GWXLTEUAMDVFFH-SBYIBVSJSA-N	InChI=1S/C28H50O9/c1-4-6-8-10-11-13-15-16-21(18-23(29)30)36-24(31)19-22(17-14-12-9-7-5-2)37-28-27(34)26(33)25(32)20(3)35-28/h12,14,20-22,25-28,32-34H,4-11,13,15-19H2,1-3H3,(H,29,30)/b14-12+/t20-,21?,22?,25-,26+,27+,28-/m0/s1	CCCC/C=C/CC(CC(=O)OC(CCCCCCCCC)CC(=O)O)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O	C28H50O9	pos_1_1proton1ethylamine	530.34548318	3-[(E)-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxydec-5-enoyl]oxydodecanoic acid	GWXLTEUAMDVFFH	Fatty acids	Fatty acyl glycosides	Rhamnolipids	http://www.wikidata.org/entity/Q131143	Pseudomonas	281374.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	['Unknown']	['Pseudomonas']	['Unknown']		['Bacteria']		['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']		['Pseudomonas']		6	3	7.5	1
835	5	Fatty acids	0.38461538461538464	Fatty acyl glycosides	0.2564102564102564	Rhamnolipids	0.2564102564102564	2.0	0.0	MS1_match	http://www.wikidata.org/entity/Q110170839	XJGPJMVYQFDHEG-HFDPWBFESA-N	InChI=1S/C28H50O9/c1-4-6-8-10-11-13-15-17-22(37-28-27(34)26(33)25(32)20(3)35-28)19-24(31)36-21(18-23(29)30)16-14-12-9-7-5-2/h10-11,20-22,25-28,32-34H,4-9,12-19H2,1-3H3,(H,29,30)/b11-10-/t20-,21?,22?,25-,26+,27+,28?/m0/s1	CCCC/C=C\CCCC(CC(=O)OC(CCCCCCC)CC(=O)O)OC1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O	C28H50O9	pos_1_1proton1ethylamine	530.34548318	3-[(Z)-3-[(3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxydodec-7-enoyl]oxydecanoic acid	XJGPJMVYQFDHEG	Fatty acids	Fatty acyl glycosides	Rhamnolipids	http://www.wikidata.org/entity/Q131143	Pseudomonas	281374.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	['Unknown']	['Pseudomonas']	['Unknown']		['Bacteria']		['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']		['Pseudomonas']		6	3	7.5	1
834	85	Fatty acids	0.2	Fatty acyl glycosides	0.2	Rhamnolipids	0.2	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q104975400	DCIJAGJQBHKBNH-IWRMTKMNSA-N	InChI=1S/C28H50O9/c1-4-6-8-10-11-13-15-17-22(37-28-27(34)26(33)25(32)20(3)35-28)19-24(31)36-21(18-23(29)30)16-14-12-9-7-5-2/h13,15,20-22,25-28,32-34H,4-12,14,16-19H2,1-3H3,(H,29,30)/b15-13+/t20-,21?,22?,25-,26+,27+,28-/m0/s1	CCCCCC/C=C/CC(CC(=O)OC(CCCCCCC)CC(=O)O)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O	C28H50O9	pos_1_1sodium	530.34548318	3-[(E)-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxydodec-5-enoyl]oxydecanoic acid	DCIJAGJQBHKBNH	Fatty acids	Fatty acyl glycosides	Rhamnolipids	http://www.wikidata.org/entity/Q131143	Pseudomonas	281374.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	['Unknown']	['Pseudomonas']	['Unknown']		['Bacteria']		['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']		['Pseudomonas']		6	3	7.5	1
834	85	Fatty acids	0.2	Fatty acyl glycosides	0.2	Rhamnolipids	0.2	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q105022873	GWXLTEUAMDVFFH-SBYIBVSJSA-N	InChI=1S/C28H50O9/c1-4-6-8-10-11-13-15-16-21(18-23(29)30)36-24(31)19-22(17-14-12-9-7-5-2)37-28-27(34)26(33)25(32)20(3)35-28/h12,14,20-22,25-28,32-34H,4-11,13,15-19H2,1-3H3,(H,29,30)/b14-12+/t20-,21?,22?,25-,26+,27+,28-/m0/s1	CCCC/C=C/CC(CC(=O)OC(CCCCCCCCC)CC(=O)O)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O	C28H50O9	pos_1_1sodium	530.34548318	3-[(E)-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxydec-5-enoyl]oxydodecanoic acid	GWXLTEUAMDVFFH	Fatty acids	Fatty acyl glycosides	Rhamnolipids	http://www.wikidata.org/entity/Q131143	Pseudomonas	281374.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	['Unknown']	['Pseudomonas']	['Unknown']		['Bacteria']		['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']		['Pseudomonas']		6	3	7.5	1
834	85	Fatty acids	0.2	Fatty acyl glycosides	0.2	Rhamnolipids	0.2	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q110170839	XJGPJMVYQFDHEG-HFDPWBFESA-N	InChI=1S/C28H50O9/c1-4-6-8-10-11-13-15-17-22(37-28-27(34)26(33)25(32)20(3)35-28)19-24(31)36-21(18-23(29)30)16-14-12-9-7-5-2/h10-11,20-22,25-28,32-34H,4-9,12-19H2,1-3H3,(H,29,30)/b11-10-/t20-,21?,22?,25-,26+,27+,28?/m0/s1	CCCC/C=C\CCCC(CC(=O)OC(CCCCCCC)CC(=O)O)OC1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O	C28H50O9	pos_1_1sodium	530.34548318	3-[(Z)-3-[(3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxydodec-7-enoyl]oxydecanoic acid	XJGPJMVYQFDHEG	Fatty acids	Fatty acyl glycosides	Rhamnolipids	http://www.wikidata.org/entity/Q131143	Pseudomonas	281374.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	['Unknown']	['Pseudomonas']	['Unknown']		['Bacteria']		['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']		['Pseudomonas']		6	3	7.5	1
833	5	Fatty acids	0.38461538461538464	Fatty acyl glycosides	0.2564102564102564	Rhamnolipids	0.2564102564102564	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q104975400	DCIJAGJQBHKBNH-IWRMTKMNSA-N	InChI=1S/C28H50O9/c1-4-6-8-10-11-13-15-17-22(37-28-27(34)26(33)25(32)20(3)35-28)19-24(31)36-21(18-23(29)30)16-14-12-9-7-5-2/h13,15,20-22,25-28,32-34H,4-12,14,16-19H2,1-3H3,(H,29,30)/b15-13+/t20-,21?,22?,25-,26+,27+,28-/m0/s1	CCCCCC/C=C/CC(CC(=O)OC(CCCCCCC)CC(=O)O)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O	C28H50O9	pos_1_1proton1ammonium	530.34548318	3-[(E)-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxydodec-5-enoyl]oxydecanoic acid	DCIJAGJQBHKBNH	Fatty acids	Fatty acyl glycosides	Rhamnolipids	http://www.wikidata.org/entity/Q131143	Pseudomonas	281374.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	['Unknown']	['Pseudomonas']	['Unknown']		['Bacteria']		['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']		['Pseudomonas']		6	3	7.5	1
833	5	Fatty acids	0.38461538461538464	Fatty acyl glycosides	0.2564102564102564	Rhamnolipids	0.2564102564102564	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q105022873	GWXLTEUAMDVFFH-SBYIBVSJSA-N	InChI=1S/C28H50O9/c1-4-6-8-10-11-13-15-16-21(18-23(29)30)36-24(31)19-22(17-14-12-9-7-5-2)37-28-27(34)26(33)25(32)20(3)35-28/h12,14,20-22,25-28,32-34H,4-11,13,15-19H2,1-3H3,(H,29,30)/b14-12+/t20-,21?,22?,25-,26+,27+,28-/m0/s1	CCCC/C=C/CC(CC(=O)OC(CCCCCCCCC)CC(=O)O)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O	C28H50O9	pos_1_1proton1ammonium	530.34548318	3-[(E)-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxydec-5-enoyl]oxydodecanoic acid	GWXLTEUAMDVFFH	Fatty acids	Fatty acyl glycosides	Rhamnolipids	http://www.wikidata.org/entity/Q131143	Pseudomonas	281374.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	['Unknown']	['Pseudomonas']	['Unknown']		['Bacteria']		['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']		['Pseudomonas']		6	3	7.5	1
833	5	Fatty acids	0.38461538461538464	Fatty acyl glycosides	0.2564102564102564	Rhamnolipids	0.2564102564102564	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q110170839	XJGPJMVYQFDHEG-HFDPWBFESA-N	InChI=1S/C28H50O9/c1-4-6-8-10-11-13-15-17-22(37-28-27(34)26(33)25(32)20(3)35-28)19-24(31)36-21(18-23(29)30)16-14-12-9-7-5-2/h10-11,20-22,25-28,32-34H,4-9,12-19H2,1-3H3,(H,29,30)/b11-10-/t20-,21?,22?,25-,26+,27+,28?/m0/s1	CCCC/C=C\CCCC(CC(=O)OC(CCCCCCC)CC(=O)O)OC1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O	C28H50O9	pos_1_1proton1ammonium	530.34548318	3-[(Z)-3-[(3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxydodec-7-enoyl]oxydecanoic acid	XJGPJMVYQFDHEG	Fatty acids	Fatty acyl glycosides	Rhamnolipids	http://www.wikidata.org/entity/Q131143	Pseudomonas	281374.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	['Unknown']	['Pseudomonas']	['Unknown']		['Bacteria']		['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']		['Pseudomonas']		6	3	7.5	1
830	5	Fatty acids	0.38461538461538464	Fatty acyl glycosides	0.2564102564102564	Rhamnolipids	0.2564102564102564	1.0	0.37640163	ISDB									CARLURCVFKTIGN							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	1.5056065320968628	1
